0,target,Program,,,-1,target
1,target,List,,,0,target
2,target,CompilationUnit,,,1,target
3,target,List,,,2,target
4,target,List,,,2,target
5,target,ClassDecl,Comperators,,4,target
6,target,Modifiers,,,5,target
7,target,List,,,6,target
8,target,Opt,,,5,target
9,target,List,,,5,target
10,target,List,,,5,target
11,target,MethodDecl,foo,,10,target
12,target,Modifiers,,,11,target
13,target,List,,,12,target
14,target,TypeAccess,Integer,,11,target
15,target,List,,,11,target
16,target,List,,,11,target
17,target,Opt,,,11,target
18,target,Block,,,17,target
19,target,List,,,18,target
20,target,VarDeclStmt,,,19,target
21,target,Modifiers,,,20,target
22,target,List,,,21,target
23,target,TypeAccess,Integer,,20,target
24,target,List,,,20,target
25,target,VariableDeclarator,x,,24,target
26,target,List,,,25,target
27,target,Opt,,,25,target
28,target,VariableDeclarator,y,,24,target
29,target,List,,,28,target
30,target,Opt,,,28,target
31,target,VariableDeclarator,z,,24,target
32,target,List,,,31,target
33,target,Opt,,,31,target
34,target,ExprStmt,,,19,target
35,target,AssignSimpleExpr,,,34,target
36,target,VarAccess,x,,35,target
37,target,IntegerLiteral,,1,35,target
38,target,ExprStmt,,,19,target
39,target,AssignSimpleExpr,,,38,target
40,target,VarAccess,y,,39,target
41,target,IntegerLiteral,,1,39,target
42,target,IfStmt,,,19,target
43,target,GTExpr,,,42,target
44,target,VarAccess,x,,43,target
45,target,VarAccess,y,,43,target
46,target,Block,,,42,target
47,target,List,,,46,target
48,target,IfStmt,,,47,target
49,target,GEExpr,,,48,target
50,target,VarAccess,x,,49,target
51,target,VarAccess,y,,49,target
52,target,Block,,,48,target
53,target,List,,,52,target
54,target,IfStmt,,,53,target
55,target,EQExpr,,,54,target
56,target,VarAccess,x,,55,target
57,target,VarAccess,y,,55,target
58,target,Block,,,54,target
59,target,List,,,58,target
60,target,IfStmt,,,59,target
61,target,LTExpr,,,60,target
62,target,VarAccess,x,,61,target
63,target,VarAccess,y,,61,target
64,target,Block,,,60,target
65,target,List,,,64,target
66,target,IfStmt,,,65,target
67,target,LEExpr,,,66,target
68,target,VarAccess,x,,67,target
69,target,VarAccess,y,,67,target
70,target,Block,,,66,target
71,target,List,,,70,target
72,target,IfStmt,,,71,target
73,target,NEExpr,,,72,target
74,target,VarAccess,x,,73,target
75,target,VarAccess,y,,73,target
76,target,Block,,,72,target
77,target,List,,,76,target
78,target,BreakStmt,,,77,target
79,target,Opt,,,72,target
80,target,Opt,,,66,target
81,target,Opt,,,60,target
82,target,Opt,,,54,target
83,target,Opt,,,48,target
84,target,Opt,,,42,target
85,target,VarDeclStmt,,,19,target
86,target,Modifiers,,,85,target
87,target,List,,,86,target
88,target,PrimitiveTypeAccess,boolean,,85,target
89,target,List,,,85,target
90,target,VariableDeclarator,a,,89,target
91,target,List,,,90,target
92,target,Opt,,,90,target
93,left,BooleanLiteral,,true,92,target
94,right,ExprStmt,,,19,target
95,right,AssignSimpleExpr,,,94,right
96,right,VarAccess,a,,95,right
97,right,BooleanLiteral,,true,95,right
98,target,VarDeclStmt,,,19,target
99,target,Modifiers,,,98,target
100,target,List,,,99,target
101,target,PrimitiveTypeAccess,boolean,,98,target
102,target,List,,,98,target
103,target,VariableDeclarator,b,,102,target
104,target,List,,,103,target
105,target,Opt,,,103,target
106,left,BooleanLiteral,,false,105,target
107,right,ExprStmt,,,19,target
108,right,AssignSimpleExpr,,,107,right
109,right,VarAccess,b,,108,right
110,right,VarAccess,a,,108,right
111,target,IfStmt,,,19,target
112,target,VarAccess,a,,111,target
113,target,Block,,,111,target
114,target,List,,,113,target
115,target,IfStmt,,,114,target
116,target,LogNotExpr,,,115,target
117,target,VarAccess,a,,116,target
118,target,Block,,,115,target
119,target,List,,,118,target
120,target,IfStmt,,,119,target
121,target,AndLogicalExpr,,,120,target
122,target,VarAccess,a,,121,target
123,target,VarAccess,b,,121,target
124,target,Block,,,120,target
125,target,List,,,124,target
126,target,IfStmt,,,125,target
127,target,OrLogicalExpr,,,126,target
128,target,VarAccess,a,,127,target
129,target,VarAccess,b,,127,target
130,target,Block,,,126,target
131,target,List,,,130,target
132,target,IfStmt,,,131,target
133,target,AndLogicalExpr,,,132,target
134,target,LogNotExpr,,,133,target
135,target,VarAccess,a,,134,target
136,target,VarAccess,b,,133,target
137,target,Block,,,132,target
138,target,List,,,137,target
139,target,BreakStmt,,,138,target
140,target,Opt,,,132,target
141,target,Opt,,,126,target
142,target,Opt,,,120,target
143,target,Opt,,,115,target
144,target,Opt,,,111,target
145,target,WhileStmt,,,19,target
146,target,VarAccess,a,,145,target
147,target,Block,,,145,target
148,target,List,,,147,target
149,target,BreakStmt,,,148,target
