right,11,x,36,36
right,11,x,36,37
right,42,y,46,46
right,42,y,46,47
right,42,y,46,48
right,42,y,46,49
right,54,x,58,58
right,54,x,58,59
right,54,x,58,60
right,54,x,58,61
right,62,x,67,67
right,62,x,67,68
right,62,x,67,69
right,62,x,67,70
right,71,z,73,73
right,71,z,73,74
right,71,z,73,75
right,71,z,73,76
right,81,x,85,85
right,81,x,85,86
right,81,x,85,87
right,81,x,85,88
right,90,z,92,92
right,90,z,92,93
right,90,z,92,94
right,90,z,92,95
right,112,i,123,123
right,112,i,123,124
right,112,i,123,125
right,112,i,123,126
left,11,x,36,36
left,11,x,36,37
left,42,y,46,46
left,42,y,46,47
left,42,y,46,48
left,42,y,46,49
left,54,x,58,58
left,54,x,58,59
left,54,x,58,60
left,54,x,58,61
left,71,z,73,73
left,71,z,73,74
left,71,z,73,75
left,71,z,73,76
left,81,x,85,85
left,81,x,85,86
left,81,x,85,87
left,81,x,85,88
left,90,z,92,92
left,90,z,92,93
left,90,z,92,94
left,90,z,92,95
left,112,j,119,119
left,112,j,119,120
left,112,j,119,121
left,112,j,119,122
